Player,Team,Pos,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40,DWS_40,skill_score,skill_z
Veronica Burton,GSV,G,44,1292,19.3,0.45175074931166315,0.466,0.46,0.491,4.6,-0.24986738300035197,2.4003339960667343,2.1,2.2,16.7,0.2713191294972607,117,102.0,4.2,2.2,6.4,1.2328894574798699,0.7083814502991722,-0.09148532104571078,-0.11863490145231559
Maya Caldwell,ATL,G,41,760,12.7,0.2792843302394762,0.526,0.564,0.103,5.2,-0.003444619277841329,0.006274752050847698,2.6,0.8,16.4,-0.7521706766897118,107,100.0,0.8,1.5,2.4,0.5106827784891509,1.030503482093815,-0.5301240729089989,-0.7092102496084407
Jordin Canada,ATL,G,28,783,16.5,-0.12011158761190412,0.441,0.315,0.352,1.2,-0.6195015285841174,1.930072358849328,3.2,1.0,16.4,0.6002979957716448,104,99.0,0.9,1.7,2.6,0.6096152002687015,1.2652923011085206,-0.24889060022311038,-0.33056254614153324
Emma Cannon,LAS,F,21,213,13.6,1.1325392456492422,0.619,0.571,0.365,6.3,0.16083722320383206,-0.9556240513483923,2.4,0.4,18.0,-0.02110652941330305,107,110.0,0.3,0.1,0.4,0.025913911769353218,-0.7581271692997811,0.24840275705177411,0.3389843107213967
Kamilla Cardoso,CHI,C,40,1102,19.8,0.4880594691163331,0.53,0.005,0.315,12.7,1.7009794964695222,0.28415662858840607,0.7,4.0,16.8,0.8561704473183875,107,110.0,1.9,0.6,2.5,0.17431254443867902,-0.6689679270296479,-0.2268390395820521,-0.300872720407582
Bridget Carleton,MIN,F,44,1227,10.0,0.24297561043480526,0.526,0.665,0.098,3.9,-0.45521968610244384,-0.5388012365420549,1.6,0.9,11.1,-1.3918518055565694,112,104.0,1.6,1.8,3.4,0.36228414581982504,0.4280013932847637,-0.13407793263610893,-0.1759808297635421
Tina Charles,CON,C,43,1222,17.7,0.034200471557947365,0.449,0.078,0.331,5.8,0.448330447546761,-0.2609193600044967,1.4,1.5,10.8,1.7334474240500781,102,112.0,1.1,0.3,1.5,-0.25109686921338825,-1.0244648689739524,0.3645644096096786,0.49538227626903886
Kaitlyn Chen,GSV,G,24,247,4.6,-0.5376618653656194,0.43,0.3,0.14,2.4,-0.9686004438576739,0.1559034548018408,1.1,0.0,25.3,-0.9897665245545444,85,108.0,-0.3,0.2,-0.1,-0.8743711264245566,-0.35355931385899286,0.5307867145325147,0.7191810062811866
Sonia Citron,WAS,G,44,1415,16.4,0.8874553869677134,0.556,0.384,0.314,2.5,-0.4757549164126531,-0.16472947966457271,2.0,1.2,14.4,0.307872336861081,110,106.0,2.7,1.5,4.2,0.4513233254214205,-0.05586567208085023,0.18161482021828596,0.24906223046625323
Caitlin Clark,IND,G,13,404,16.5,-0.18365184727007827,0.441,0.531,0.255,0.3,-0.02397984958805046,3.426359386359257,2.7,1.6,23.2,2.318298741871205,94,102.0,-0.3,0.7,0.5,-0.28077659574725344,0.7439196659709993,-0.004464820208243014,-0.0014720599101586916
Natasha Cloud,NYL,G,41,1191,14.2,0.3155930500441471,0.507,0.441,0.198,1.5,-0.5168253770330714,1.4704984861141353,2.1,1.1,16.9,-0.20387256623240524,108,104.0,1.8,1.7,3.5,0.4315368410655105,0.3808887860924553,0.10376452428009406,0.1442459883251925
Nia Coffey,ATL,F,44,455,14.1,-0.07472568785606544,0.456,0.558,0.34,6.9,1.0027816659224096,0.10246463239077193,1.2,3.4,15.1,0.23476592213344039,103,99.0,0.4,1.0,1.4,0.47110980977733063,1.2970000452896973,-0.9867820485555765,-1.3240463574765486
Napheesa Collier,MIN,F,33,1065,30.2,1.1325392456492422,0.579,0.239,0.33,7.1,0.7358236718896899,0.32690768651726104,2.7,4.3,10.6,1.788277235095809,123,96.0,5.5,2.7,8.3,2.3409325814108355,1.6982099552423902,-1.0965954316676823,-1.4718971269038854
Sydney Colson,IND,G,30,404,5.8,-0.5648934052191226,0.428,0.618,0.092,2.1,-1.2560936682006028,0.5941017985726055,1.9,1.4,30.7,-1.1177027503279162,86,107.0,-0.4,0.4,0.0,-0.7655454624670511,-0.13906830802902692,0.5567025722282845,0.7540736522602042
Zia Cooke,SEA,G,26,261,5.6,-0.3016551866352588,0.446,0.452,0.274,2.7,-1.379305050061858,-0.7525565261863305,2.0,0.3,18.9,0.28959573317917053,83,107.0,-0.5,0.3,-0.3,-1.1513819074072982,0.05038505037710901,0.44326371363129524,0.601341607665953
Kahleah Copper,PHO,G-F,28,752,14.4,0.3337474099464826,0.503,0.418,0.244,1.6,-0.7632481407555819,-0.485362414130986,2.0,0.6,13.4,1.6055111982767067,98,105.0,0.2,1.0,1.2,-0.0928049943661074,0.26485172263055967,0.13939228919055316,0.19221457198689515
Sophie Cunningham,IND,G,30,756,12.8,1.3050056647214292,0.614,0.674,0.274,2.4,-0.31147307393097934,-0.8594341710084683,2.0,0.4,14.8,-0.9532133171907241,118,105.0,1.5,1.0,2.5,0.5601489893789262,0.25648538755475914,-0.10926237380396672,-0.14256960643973304
Damiris Dantas,IND,C-F,38,439,8.4,-0.5285846854144517,0.417,0.525,0.155,7.6,0.551006599097807,-0.6670544103286202,0.7,0.6,13.0,0.7099576178631056,92,107.0,-0.3,0.4,0.1,-0.6270400719756803,-0.2329318739819529,-0.10404399573433538,-0.13554367580275334
Kariata Diaby,CON,C,13,103,5.8,0.9873043664305585,0.5,0.0,1.0,3.3,-0.49629014672286226,-0.7846198196329718,3.0,0.9,37.3,-0.8435536950992628,85,110.0,-0.1,0.1,-0.1,-1.0326630012718374,-0.16192883810022493,0.2297226408771323,0.3138337373473544
Skylar Diggins,SEA,G,43,1343,18.8,0.2248212505324698,0.481,0.315,0.351,2.3,-1.0507413650985107,1.780443656098335,2.0,2.3,12.8,1.0023832767736693,108,105.0,2.9,1.8,4.6,0.6392949268025667,0.2773320768307522,0.38073823049507616,0.5171584186181433
