Player,Team,WS/40,TS%,USG%,AST%,TRB%,DWS_40
Janelle Salaün,GSV,0.073,0.523,21.2,8.7,11.0,0.05755395683453236
Karlie Samuelson,MIN,0.079,0.55,11.9,10.1,5.2,0.05263157894736842
Madison Scott,WAS,0.086,0.549,13.5,7.2,1.3,0.0
Jessica Shepard,MIN,0.223,0.634,17.1,19.4,20.9,0.08622754491017964
Maddy Siegrist,DAL,0.105,0.56,19.1,5.3,9.1,0.0
Alanna Smith,MIN,0.172,0.563,17.5,16.5,11.4,0.10412926391382404
Azura Stevens,LAS,0.151,0.596,19.2,12.6,16.9,0.04803843074459567
Breanna Stewart,NYL,0.205,0.57,27.2,21.0,12.4,0.08438818565400844
Kiah Stokes,LVA,0.061,0.404,6.3,4.7,16.4,0.07003891050583658
Serena Sundell,DAL,-0.211,0.0,5.9,0.0,2.6,0.0
Sug Sutton,WAS,0.023,0.523,15.9,25.0,4.2,0.0249554367201426
Camryn Taylor,MIN,-0.283,0.19,21.7,5.7,15.5,0.0
Taylor Thierry,ATL,-0.045,0.235,17.6,8.0,9.8,0.11111111111111112
Alyssa Thomas,PHO,0.225,0.568,24.4,53.6,16.1,0.09172809172809172
Kayla Thornton,GSV,0.105,0.493,24.5,9.8,13.6,0.0785498489425982
Makayla Timpson,IND,0.175,0.595,15.7,0.7,15.8,0.091324200913242
Mamignan Touré,CON,-0.05,0.462,14.5,10.3,2.8,0.0
Brianna Turner,IND,0.056,0.422,8.6,10.0,13.0,0.05150214592274678
Maria Kliundikova,MIN,0.175,0.539,19.7,8.1,16.3,0.11796246648793568
Courtney Vandersloot,CHI,0.049,0.516,20.9,35.3,6.8,0.020942408376963352
Hailey Van Lith,CHI,-0.102,0.416,19.7,20.8,5.0,0.0
Shatori Walker-Kimbrough,ATL,0.072,0.523,10.8,9.2,6.2,0.06779661016949153
Kathryn Westbeld,PHO,0.08,0.482,14.4,7.6,7.9,0.06565656565656566
Maddy Westbeld,CHI,0.028,0.478,16.3,10.9,10.3,0.011299435028248588
Erica Wheeler,SEA,0.074,0.515,20.7,20.5,6.4,0.06039076376554174
Sami Whitcomb,PHO,0.074,0.544,18.6,17.0,6.3,0.04673807205452775
Christyn Williams,DAL,-0.004,0.456,19.0,10.8,5.1,0.0
Courtney Williams,MIN,0.138,0.496,25.7,35.6,10.2,0.08253968253968255
Elizabeth Williams,CHI,0.059,0.502,20.8,16.3,14.5,0.026490066225165563
Gabby Williams,SEA,0.097,0.508,19.3,21.1,8.2,0.08051761322789361
Kiana Williams,PHO,0.06,0.539,20.1,16.0,5.9,0.03738317757009346
A'ja Wilson,LVA,0.304,0.596,31.9,20.6,19.1,0.10585404971932638
Jackie Young,LVA,0.197,0.596,24.2,30.9,8.6,0.04790419161676647
Cecilia Zandalasini,GSV,0.139,0.606,19.6,13.9,7.3,0.06222222222222222
Alysha Clark,WAS,0.05,0.455,10.7,10.7,9.5,0.03498542274052478
Jacy Sheldon,WAS,0.063,0.533,19.0,5.5,5.8,0.0
