Player,Team,Pos,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40
Myisha Hines-Allen,DAL,F,40,882,13.8,.529,.482,.241,.333,7.2,15.6,21.0,1.8,1.9,23.4,18.4,98,109,0.1,0.6,0.8,.034
Joyner Holmes,LVA,F,6,29,-4.4,.292,.292,.417,.000,8.0,12.1,0.0,0.0,0.0,14.3,22.0,61,110,-0.2,0.0,-0.1,-0.204
Mackenzie Holmes,SEA,F,10,58,14.0,.714,.714,.000,.000,6.0,9.3,5.0,4.4,1.5,0.0,5.5,156,98,0.1,0.1,0.3,.191
Natasha Howard,IND,F,44,1060,19.3,.595,.561,.091,.365,9.7,16.6,10.5,2.5,2.1,16.8,21.4,109,100,2.1,2.1,4.2,.157
Rhyne Howard,ATL,G,33,1151,18.2,.524,.477,.635,.236,3.3,7.6,22.6,2.3,2.0,9.1,24.2,111,100,2.8,2.3,5.1,.177
Lexie Hull,IND,G,44,1189,10.5,.503,.487,.502,.120,6.2,9.7,9.7,2.2,0.5,11.5,13.4,107,105,1.1,1.6,2.7,.091
Sabrina Ionescu,NYL,G,38,1194,20.4,.537,.472,.473,.284,3.1,9.0,33.0,2.1,1.2,13.4,28.9,107,104,2.6,1.7,4.3,.145
Kiki Iriafen,WAS,F,44,1185,17.3,.548,.490,.024,.387,11.8,19.5,11.4,1.1,0.6,15.3,24.5,104,105,1.5,1.5,3.0,.102
Rickea Jackson,LAS,F,38,1173,12.3,.530,.492,.387,.203,4.0,6.2,9.3,1.0,1.1,12.9,23.0,100,115,0.5,-0.2,0.3,.009
Aziaha James,DAL,G,38,673,12.5,.462,.430,.394,.194,5.9,9.5,14.7,1.8,1.0,11.0,22.4,97,113,0.0,0.1,0.1,.003
Moriah Jefferson,CHI,G,5,35,9.6,.438,.438,.375,.000,0.0,8.4,41.8,0.0,0.0,20.0,12.8,104,116,0.0,0.0,0.0,.017
Marine Johannes,NYL,G,44,803,10.6,.540,.526,.750,.075,2.0,6.1,14.2,1.6,1.4,16.6,18.0,96,106,-0.1,0.9,0.8,.040
Brionna Jones,ATL,F,44,1169,22.6,.581,.541,.108,.309,14.0,16.1,14.6,2.2,2.6,11.7,21.6,119,99,4.2,2.6,6.8,.234
Jonquel Jones,NYL,C,31,830,20.3,.611,.577,.408,.297,6.7,17.5,18.3,0.9,3.6,15.8,22.9,111,100,1.9,1.6,3.6,.172
Elizabeth Kitley,LVA,C,12,98,1.0,.314,.304,.043,.087,4.7,10.1,1.5,2.1,5.4,22.7,14.4,59,102,-0.4,0.2,-0.2,-0.091
