Player,Team,Pos,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40,DWS_40,OWS_40,archetype_soft,resp_1,resp_2,resp_3,resp_4,resp_5,outlier_flag,latent_y_star,latent_y_pred,skill_score,skill_ci_low,skill_ci_high,Pos5,latent_y_pred_pos,skill_score_pos5,skill_score_global_from_pos_model
Sophie Cunningham,IND,G,30,756.0,12.8,0.655,0.614,0.674,0.274,2.4,8.4,7.1,2.0,0.4,14.8,13.6,118,105.0,1.5,1.0,2.5,0.13,0.0529100529100529,0.0793650793650793,1,0.9999361335245606,4.163218062055973e-08,1.4129193355216305e-35,6.37964554620031e-05,2.8387796795752997e-08,1,0.2709354568171882,0.6426967949999464,75.06613113214476,65.30395527995584,81.00425528799113,SG,0.6686791195642072,96.29629629629629,75.60975609756099
Damiris Dantas,IND,C-F,38,439.0,8.4,0.453,0.417,0.525,0.155,7.6,12.6,8.9,0.7,0.6,13.0,22.7,92,107.0,-0.3,0.4,0.1,0.01,0.0364464692482915,-0.0273348519362186,5,1.4327674356463621e-18,1.0531355159348489e-15,7.235629368611314e-22,0.0507996625264541,0.9492003374735452,0,-1.1370661449182928,-0.984158164436596,15.51879957608038,10.81647759860681,23.00448131011323,C,-1.0019300953288115,8.333333333333332,19.51219512195122
Skylar Diggins,SEA,G,43,1343.0,18.8,0.536,0.481,0.315,0.351,2.3,4.8,31.8,2.0,2.3,12.8,24.3,108,105.0,2.9,1.8,4.6,0.138,0.0536113179448994,0.086373790022338,2,1.27619762791988e-12,0.9999900246268204,1.9401452351778338e-241,6.949945289756967e-06,3.025426613800812e-06,0,0.6630759429161848,0.1691953851938758,57.73468724500714,53.51629846866014,62.87052698680608,PG,0.5111905108054364,80.0,69.10569105691057
Stefanie Dolson,WAS,C,43,653.0,8.5,0.534,0.518,0.528,0.141,3.0,9.1,14.9,1.0,2.1,16.1,12.7,102,107.0,0.3,0.6,1.0,0.059,0.0367534456355283,0.0183767228177641,3,1.4949507446252483e-05,3.82816442480533e-05,0.994314673991508,0.0056311466534698,9.48203327735718e-07,0,-0.6891481043111038,-0.3014246795454569,40.50870845112889,33.48611795860826,47.19404506934434,C,-0.39794037176452857,25.0,36.585365853658544
Emily Engstler,WAS,F,40,512.0,14.7,0.487,0.455,0.47,0.269,8.9,15.6,19.1,2.8,5.1,20.2,16.9,96,99.0,0.0,1.1,1.1,0.082,0.0859375,0.0,1,0.994853408786204,1.816733581011386e-20,2.1836048272528152e-36,0.0051465912137966,1.7639142363363893e-35,0,0.010343784571459,0.2718368410081478,61.49164465864558,55.85951011445671,71.19924451017351,PF,0.06402006265025642,10.526315789473683,47.154471544715456
Dana Evans,LVA,G,44,777.0,10.8,0.488,0.456,0.367,0.193,1.2,3.5,20.5,1.1,0.6,11.0,19.7,101,110.0,0.4,0.4,0.8,0.043,0.0205920205920205,0.0205920205920205,2,3.232905127890028e-05,0.9922468824020042,9.539999906471931e-81,1.3257399194448229e-06,0.0077194628067973,0,-0.7445434943076625,-1.1307793071728074,10.152065590976903,6.387486803702839,16.441393391607363,PG,-1.0827533788194392,20.0,13.008130081300814
Temi Fagbenle,GSV,C,39,925.0,12.9,0.544,0.526,0.249,0.145,9.0,12.0,12.5,2.0,2.6,18.0,16.3,103,101.0,0.7,1.7,2.4,0.103,0.0735135135135135,0.0302702702702702,1,0.9251434324218066,8.211735168040813e-09,1.8639741350230025e-08,0.0748565407199639,6.752809516462678e-12,0,0.0653875172827221,0.3317133077230485,63.683286756299296,58.25920661641173,68.53964765639141,C,0.3149488354649688,41.666666666666664,57.72357723577236
Leonie Fiebich,NYL,F,37,1041.0,12.1,0.646,0.604,0.543,0.281,2.7,7.3,9.7,1.7,1.2,15.3,13.0,115,106.0,1.8,1.3,3.0,0.117,0.0499519692603266,0.0691642651296829,1,0.9997058883048294,3.576162390022674e-06,3.225719146250145e-18,0.0002898805834718,6.549493086639113e-07,0,0.1047555552681291,0.5363438065501079,71.17332149446554,61.8694943563313,76.95955028297293,SF,0.48251845495915496,73.68421052631578,67.47967479674799
Rebekah Gardner,NYL,G,41,502.0,12.5,0.624,0.591,0.382,0.245,6.6,8.5,7.9,2.6,1.3,15.9,13.4,114,104.0,0.8,0.7,1.6,0.125,0.0557768924302788,0.0637450199203187,1,0.999489206610472,2.204611106836668e-06,1.7476759968539198e-20,0.0005077970528841,7.91725536970087e-07,0,0.1751512667365642,0.4482599125410877,67.94921057364873,59.74353414643384,72.8338310598523,SG,0.43784588516384726,85.18518518518519,63.41463414634148
Luisa Geiselsoder,DAL,C,28,628.0,12.0,0.522,0.511,0.525,0.061,4.2,12.2,11.1,1.8,2.9,13.2,14.7,102,110.0,0.4,0.4,0.8,0.048,0.0254777070063694,0.0254777070063694,4,5.324496607090528e-06,6.266149927556813e-12,2.7971286760177832e-05,0.9999666928787634,1.1331603179297029e-08,0,-0.5981846658571249,-0.4601008980691143,34.700725791283595,29.390608410959672,41.37173483140432,C,-0.5856218618585188,20.833333333333332,30.89430894308943
