site,seed,policy,seasons,step,marker,year,phase,i_expansion,mu_size,compete_local,n_star_fa,bidding_intensity,travel_fatigue,leverage,cash_flow,cash_flow_cum,cash,franchise_value,debt,owner_share,terminal_value,win_pct,elo,syn,a_roster,a_salary,a_ticket,a_marketing,a_debt,a_equity
Nashville,0,defensive,1,4,season_end,2026,offseason,1,0.6128457972183027,1,0,6.591126133316471,0.12,0.02854791725590681,19.025952522345396,75.40860277016989,23.93207516324416,368.62487370762096,10.523472393074261,1.0,358.1014013145467,0.2926414696040174,1468.6104561231,-2.159274173842885,3,1,2,3,1,0
Nashville,0,defensive,1,5,offseason_decision,2026,offseason,1,0.6128457972183027,1,0,6.591126133316471,0.12,0.02854791725590681,19.025952522345396,75.40860277016989,23.93207516324416,368.62487370762096,10.523472393074261,1.0,358.1014013145467,0.2926414696040174,1468.6104561231,-2.159274173842885,3,1,2,3,1,0
Nashville,0,defensive,2,8,season_end,2027,offseason,0,0.6128457972183027,1,0,6.7295181690244945,0.12,0.0,19.10996356855,143.86973257994583,81.86973257994583,455.8475177161627,0.0,1.0,455.8475177161627,0.18828119926647852,1447.6661829521954,-2.0160759330085734,3,1,2,3,1,0
Nashville,0,defensive,2,9,offseason_decision,2027,offseason,0,0.6128457972183027,1,0,6.7295181690244945,0.12,0.0,19.10996356855,143.86973257994583,81.86973257994583,455.8475177161627,0.0,1.0,455.8475177161627,0.18828119926647852,1447.6661829521954,-2.0160759330085734,3,1,2,3,1,0
Nashville,0,defensive,3,12,season_end,2028,offseason,0,0.6128457972183027,1,1,7.559671991574587,0.12,0.0,16.101466143291436,213.21907786990926,151.21907786990926,509.8393405642054,0.0,1.0,509.8393405642054,0.17344504589781562,1429.4978476673896,-2.1132675909062275,3,1,2,3,1,0
Nashville,0,ppo,0,1,offseason_decision,2025,offseason,0,0.6148457972183027,0,3,5.0,0.0,0.2,0.0,0.0,5.0,335.0,67.0,1.0,268.0,0.545,1488.4828510831296,-4.241364390609727,6,4,1,0,4,0
Nashville,0,ppo,1,4,season_end,2026,offseason,1,0.6128457972183027,1,0,6.591126133316471,0.12,0.509833219979247,11.364783236732762,62.34315680478497,178.27073059070224,348.99172280919606,177.92757378591728,1.0,171.0641490232788,0.24406094708090872,1464.326477057427,-3.210853870699367,6,4,1,0,4,0
Nashville,0,ppo,1,5,offseason_decision,2026,offseason,1,0.6128457972183027,1,0,6.591126133316471,0.12,0.509833219979247,11.364783236732762,62.34315680478497,178.27073059070224,348.99172280919606,177.92757378591728,1.0,171.0641490232788,0.24406094708090872,1464.326477057427,-3.210853870699367,6,4,1,0,2,0
Nashville,0,ppo,2,8,season_end,2027,offseason,0,0.6128457972183027,1,0,6.7295181690244945,0.12,0.4451860971303441,7.7308329139068555,74.54862265621377,190.47619644213103,399.67010410440247,177.92757378591728,1.0,221.7425303184852,0.11745462465499482,1438.2195608496856,-3.0676556298650546,6,4,1,0,2,0
Nashville,0,ppo,2,9,offseason_decision,2027,offseason,0,0.6128457972183027,1,0,6.7295181690244945,0.12,0.4451860971303441,7.7308329139068555,74.54862265621377,190.47619644213103,399.67010410440247,177.92757378591728,1.0,221.7425303184852,0.11745462465499482,1438.2195608496856,-3.0676556298650546,6,4,1,0,2,0
