site,team,team_name,impact_score,dist_km,overlap,market_idx,strength_idx,scarcity,media_term,market_term,compete_term,travel_term,scarcity_term
StLouis,WAS,Washington Mystics,-0.05386564503206645,1140.6034861245719,0.0,0.6760659415587986,-0.31434678921336856,2,0.018010396683126397,-0.002501443983767555,-0.01619670292206007,-0.0006040232408304792,-0.05257387156853474
StLouis,GSV,Golden State Valkyries,-0.025499151133359082,2802.5340218395986,0.0,1.0,0.08111022530595619,2,0.02664,-0.0037,-0.0,-0.011683560145597325,-0.03675559098776176
Nashville,ATL,Atlanta Dream,-0.05338699604278622,345.83123154772625,0.423614614087123,0.46282264184143673,0.12512851962120294,2,0.012079670952061498,-0.006807398328116162,-0.026858867907928165,0.0031944584563484923,-0.03499485921515188
Nashville,CHI,Chicago Sky,-0.0009520617978409432,639.7235109917923,0.0,1.1150238097856568,0.12973743259134607,2,0.02910212143540564,-0.0022300476195713137,0.005751190489282843,0.0012351765933880524,-0.03481050269634616
Nashville,CON,Connecticut Sun,-0.03486166791963069,1397.607762429495,0.0,0.9613654609640488,-0.307036587355085,2,0.025091638531161673,-0.0019227309219280978,-0.0019317269517975578,-0.0038173850828633,-0.05228146349420341
Nashville,DAL,Dallas Wings,-0.049495773563545425,991.6856389335063,0.0,0.7145575119048928,-0.2833311900701983,2,0.0186499510607177,-0.0014291150238097856,-0.01427212440475536,-0.001111237592890042,-0.051333247602807934
Nashville,IND,Indiana Fever,-0.03192265102069793,404.64065812410377,0.32559890312649375,0.6261808663902605,0.37478663162354453,2,0.0163433206127858,-0.007368875830444512,-0.018690956680486977,0.0028023956125059753,-0.025008534735058218
Nashville,LVA,Las Vegas Aces,-0.014950390641954275,2536.4879578392915,0.0,1.470531953502183,-0.5626722169384357,2,0.038380883986406975,-0.002941063907004366,0.023526597675109152,-0.011409919718928609,-0.06250688867753743
Nashville,LAS,Los Angeles Sparks,-0.009691121367276873,2859.0959560204888,0.0,1.0090950081932057,0.4773894558102461,2,0.026337379713842667,-0.0020181900163864113,0.00045475040966028727,-0.013560639706803258,-0.020904421767590158
Nashville,MIN,Minnesota Lynx,-0.018207934516386554,1121.8895342341857,0.0,1.1973957703262985,-0.37389243840010067,2,0.03125202960551639,-0.002394791540652597,0.009869788516314926,-0.001979263561561238,-0.05495569753600403
Nashville,NYL,New York Liberty,0.013313828313129598,1220.761426638052,0.0,1.1973957703262985,0.4306302810717807,2,0.03125202960551639,-0.002394791540652597,0.009869788516314926,-0.0026384095109203446,-0.022774788757128774
Nashville,PHO,Phoenix Mercury,0.01483054420888932,2322.2140085208266,0.0,1.4160278898921137,0.24710760728389686,2,0.03695832792618416,-0.0028320557797842276,0.020801394494605687,-0.00998142672347218,-0.030115695708644124
Nashville,SEA,Seattle Storm,-0.004755411154213789,3171.1582429847485,0.0,1.3747649264811006,-0.02461093133079203,2,0.035881364581156726,-0.0027495298529622014,0.01873824632405503,-0.015641054953231655,-0.040984437253231684
Nashville,WAS,Washington Mystics,-0.05305239612293171,911.2516235855919,0.0,0.6760659415587986,-0.31434678921336856,2,0.017645321074684642,-0.0013521318831175972,-0.01619670292206007,-0.000575010823903945,-0.05257387156853474
Nashville,GSV,Golden State Valkyries,-0.02816901620266921,3152.013782236117,0.0,1.0,0.08111022530595619,2,0.026099999999999998,-0.002,-0.0,-0.015513425214907447,-0.03675559098776176
Denver,ATL,Atlanta Dream,-0.0225754073225956,1947.3564520588873,0.0,0.46282264184143673,0.12512851962120294,2,0.01266282748078171,0.005739000758833815,-0.0,-0.005982376347059249,-0.03499485921515188
Denver,CHI,Chicago Sky,0.006671484411244974,1477.703935422987,0.0,1.1150238097856568,0.12973743259134607,2,0.03050705143573557,0.013826295241342145,0.0,-0.0028513595694865806,-0.03481050269634616
Denver,CON,Connecticut Sun,-0.02549916007204562,2766.2380958659187,0.0,0.9613654609640488,-0.307036587355085,2,0.026302959011976376,0.011920931715954205,-0.0,-0.011441587305772792,-0.05228146349420341
Denver,DAL,Dallas Wings,-0.023031160523917453,1066.307939167208,0.0,0.7145575119048928,-0.2833311900701983,2,0.019550293525717865,0.008860513147620671,-0.0,-0.00010871959444805346,-0.051333247602807934
Denver,IND,Indiana Fever,-0.0038244033633613,1606.9229813969755,0.0,0.6261808663902605,0.37478663162354453,2,0.017132308504437525,0.00776464274323923,-0.0,-0.003712819875979838,-0.025008534735058218
Denver,LVA,Las Vegas Aces,-0.003529199827492391,973.5992431802633,0.0,1.470531953502183,-0.5626722169384357,2,0.04023375424781973,0.018234596223427067,0.0,0.0005093383787982434,-0.06250688867753743
Denver,LAS,Los Angeles Sparks,0.017313752391376364,1335.516505019301,0.0,1.0090950081932057,0.4773894558102461,2,0.027608839424166108,0.012512778101595751,0.0,-0.00190344336679534,-0.020904421767590158
Denver,MIN,Minnesota Lynx,-0.007841764671942433,1124.1784446168035,0.0,1.1973957703262985,-0.37389243840010067,2,0.03276074827612752,0.014847707552046101,0.0,-0.0004945229641120244,-0.05495569753600403
Denver,NYL,New York Liberty,0.01437329758148654,2619.055423433747,0.0,1.1973957703262985,0.4306302810717807,2,0.03276074827612752,0.014847707552046101,0.0,-0.010460369489558311,-0.022774788757128774
Denver,PHO,Phoenix Mercury,0.026903330415033188,942.3364167649689,0.0,1.4160278898921137,0.24710760728389686,2,0.03874252306744823,0.017558745834662208,0.0,0.0007177572215668736,-0.030115695708644124
Denver,SEA,Seattle Storm,0.009737974154674256,1640.7363103473933,0.0,1.3747649264811006,-0.02461093133079203,2,0.03761356838852291,0.017047085088365648,0.0,-0.003938242068982623,-0.040984437253231684
Denver,WAS,Washington Mystics,-0.03467036815909534,2396.5317640407648,0.0,0.6760659415587986,-0.31434678921336856,2,0.01849716416104873,0.008383217675329102,-0.0,-0.008976878426938433,-0.05257387156853474
Denver,GSV,Golden State Valkyries,-0.00015894633051580231,1524.5033014131054,0.0,1.0,0.08111022530595619,2,0.02736,0.0124,-0.0,-0.0031633553427540383,-0.03675559098776176
Portland,ATL,Atlanta Dream,-0.040508499044600084,3490.2865797246686,0.0,0.46282264184143673,0.12512851962120294,2,0.011524283781851776,0.0027306535868644767,-0.0,-0.01976857719816446,-0.03499485921515188
Portland,CHI,Chicago Sky,-0.015792591649442494,2823.723344174184,0.0,1.1150238097856568,0.12973743259134607,2,0.027764092863662857,0.006578640477735375,0.0,-0.015324822294494563,-0.03481050269634616
Portland,CON,Connecticut Sun,-0.04609004371866457,4037.79546332308,0.0,0.9613654609640488,-0.307036587355085,2,0.023937999978004817,0.005672056219687888,-0.0,-0.023418636422153867,-0.05228146349420341
Portland,DAL,Dallas Wings,-0.043326839258815114,2625.294453401682,0.0,0.7145575119048928,-0.2833311900701983,2,0.017792482046431832,0.004215889320238867,-0.0,-0.01400196302267788,-0.051333247602807934
Portland,IND,Indiana Fever,-0.02240392744538764,3027.264509272417,0.0,0.6261808663902605,0.37478663162354453,2,0.015591903573117488,0.003694467111702537,-0.0,-0.016681763395149447,-0.025008534735058218
Portland,LVA,Las Vegas Aces,-0.021821653283790626,1216.0723161180665,0.0,1.470531953502183,-0.5626722169384357,2,0.03661624564220436,0.00867613852566288,0.0,-0.004607148774120443,-0.06250688867753743
Portland,LAS,Los Angeles Sparks,0.004814391775542541,1329.1969063827064,0.0,1.0090950081932057,0.4773894558102461,2,0.025126465704010826,0.005953660548339914,0.0,-0.005361312709218042,-0.020904421767590158
Portland,MIN,Minnesota Lynx,-0.029846272409105867,2290.5546898727753,0.0,1.1973957703262985,-0.37389243840010067,2,0.029815154681124837,0.007064635044925161,0.0,-0.011770364599151836,-0.05495569753600403
Portland,NYL,New York Liberty,-0.008565961147168472,3925.6443174134547,0.0,1.1973957703262985,0.4306302810717807,2,0.029815154681124837,0.007064635044925161,0.0,-0.0226709621160897,-0.022774788757128774
Portland,PHO,Phoenix Mercury,0.006210421711143988,1618.1312383333495,0.0,1.4160278898921137,0.24710760728389686,2,0.035259094458313635,0.00835456455036347,0.0,-0.007287541588888996,-0.030115695708644124
Portland,SEA,Seattle Storm,-0.021859222737753623,234.0105190566746,0.6099824682388757,1.3747649264811006,-0.02461093133079203,2,0.03423164666937941,-0.017046362026856852,0.0,0.0019399298729555021,-0.040984437253231684
Portland,WAS,Washington Mystics,-0.05343465518188899,3777.542192004786,0.0,0.6760659415587986,-0.31434678921336856,2,0.016834041944814086,0.003988789055196912,-0.0,-0.02168361461336524,-0.05257387156853474
Portland,GSV,Golden State Valkyries,-0.008195255875510926,860.9497331623754,0.0,1.0,0.08111022530595619,2,0.024900000000000002,0.0059,-0.0,-0.00223966488774917,-0.03675559098776176
Toronto,ATL,Atlanta Dream,-0.015084175947560403,1183.239474471029,0.0,0.46282264184143673,0.12512851962120294,2,0.014301219632900394,0.007497726797831275,-0.0,-0.0018882631631401952,-0.03499485921515188
Toronto,CHI,Chicago Sky,0.01903258741041553,701.1797001214103,0.0,1.1150238097856568,0.12973743259134607,2,0.03445423572237679,0.01806338571852764,0.0,0.001325468665857265,-0.03481050269634616
Toronto,CON,Connecticut Sun,-0.005298732024594965,644.6372612697389,0.0,0.9613654609640488,-0.307036587355085,2,0.029706192743789106,0.01557412046761759,-0.0,0.001702418258201741,-0.05228146349420341
Toronto,DAL,Dallas Wings,-0.02458829686610471,1936.6062111025838,0.0,0.7145575119048928,-0.2833311900701983,2,0.022079827117861186,0.011575831692859263,-0.0,-0.006910708074017226,-0.051333247602807934
Toronto,IND,Indiana Fever,0.0057597598313752045,708.7236360821765,0.0,0.6261808663902605,0.37478663162354453,2,0.019348988771459047,0.01014413003552222,-0.0,0.0012751757594521565,-0.025008534735058218
Toronto,LVA,Las Vegas Aces,-0.008141999297646384,3134.574844509264,0.0,1.470531953502183,-0.5626722169384357,2,0.04543943736321745,0.023822617646735364,0.0,-0.014897165630061762,-0.06250688867753743
Toronto,LAS,Los Angeles Sparks,0.009328088494512464,3494.3796935696055,0.0,1.0090950081932057,0.4773894558102461,2,0.031181035753170053,0.016347339132729934,0.0,-0.01729586462379737,-0.020904421767590158
Toronto,MIN,Minnesota Lynx,2.2877159926007473e-05,1112.8149129657918,0.0,1.1973957703262985,-0.37389243840010067,2,0.03699952930308262,0.019397811479286035,0.0,-0.0014187660864386116,-0.05495569753600403
Toronto,NYL,New York Liberty,0.03298600639660795,550.44377966987,0.08259370055021675,1.1973957703262985,0.4306302810717807,2,0.03699952930308262,0.01643089104845324,0.0,0.002330374802200867,-0.022774788757128774
Toronto,PHO,Phoenix Mercury,0.02233578455119416,3036.5150031120397,0.0,1.4160278898921137,0.24710760728389686,2,0.04375526179766631,0.02293965181625224,0.0,-0.014243433354080267,-0.030115695708644124
Toronto,SEA,Seattle Storm,0.007599532739765762,3325.1187066393586,0.0,1.3747649264811006,-0.02461093133079203,2,0.042480236228266,0.02227119180899383,0.0,-0.016167458044262388,-0.040984437253231684
Toronto,WAS,Washington Mystics,-0.01973772295919874,562.9078031123105,0.06182032814614924,0.6760659415587986,-0.31434678921336856,2,0.020890437594166877,0.009698429702584528,-0.0,0.0022472813125845965,-0.05257387156853474
Toronto,GSV,Golden State Valkyries,-0.007947404100729909,3643.7719669452213,0.0,1.0,0.08111022530595619,2,0.030899999999999997,0.0162,-0.0,-0.018291813112968146,-0.03675559098776176
