site,policy,seasons,n,win_pct_mean,win_pct_std,cash_flow_mean,cash_flow_std,cash_flow_cum_mean,cash_flow_cum_std,terminal_value_mean,terminal_value_std,leverage_mean,leverage_std,franchise_value_mean,franchise_value_std,debt_mean,debt_std
Nashville,defensive,3,6,0.19047216923344146,0.017307364233571976,18.969139278951236,2.07504788367393,218.58674911377798,6.648766823049809,523.6435926511961,21.912570034566254,0.0,0.0,523.6435926511961,21.912570034566254,0.0,0.0
Nashville,ppo,1,6,0.28345685567315115,0.013817785301336295,17.97575929514178,2.557808649624612,71.6717157947472,5.728626259681211,353.08885256944046,8.689304390729664,0.0293007993953683,0.0016443123112789683,363.73327530728966,8.368810845215789,10.64442273784924,0.35701249482881564
Nashville,ppo,2,6,0.18946639099975163,0.02251334988639664,16.458529640622878,1.494823549439925,139.4481445975999,6.755089647492124,427.0776934439712,13.456533397105717,0.0038225428499430985,0.008547465659378547,428.83026357919397,16.421238309095624,1.7525701352227114,3.9188659576939817
Nashville,ppo,3,6,0.1606675827504657,0.018120194593878217,18.51423442436052,1.8966725387885102,211.63031076785833,5.687070764618262,495.9705015016489,17.53888089458578,0.0,0.0,495.9705015016489,17.53888089458578,0.0,0.0
SanDiego,aggressive,1,6,0.2483305721251292,0.00855816639385978,8.366119160827017,3.834887409370744,51.52550625300554,7.573660194386225,180.48348768936148,8.851225423113776,0.498908078867877,0.011536374384216338,359.960580725362,9.582967746150445,179.47709303600053,0.8170905353654375
SanDiego,aggressive,2,6,0.14066272659935378,0.01393821794491639,3.28975404803059,3.14588629351176,66.77411214557101,13.14098278957501,252.25941137720642,17.26918656865184,0.41635802570134595,0.015880314558068192,431.7365044132069,17.680372406184176,179.47709303600053,0.8170905353654375
SanDiego,aggressive,3,6,0.10190250085748,0.012153781574847216,6.530935543904772,3.9121469230295505,89.27763452984811,10.950458906427897,304.93228710244415,18.66250652681125,0.37106353798862757,0.014268642103166326,484.4093801384447,19.060884212733125,179.47709303600053,0.8170905353654375
SanDiego,baseline,1,6,0.3214322158687788,0.013271433461947906,16.97494995741588,3.040785696103669,72.36650238053949,6.308835651180228,291.53630227672915,9.263176743330545,0.1869981923821452,0.004928051809275419,358.53630227672915,9.263176743330545,67.0,0.0
SanDiego,baseline,2,6,0.2386945900407045,0.020736700158229805,14.647110450762677,2.1604248727592066,133.62198879157643,9.87765314326215,372.7480343591301,17.43258894173745,0.1525954625032007,0.0059422496920427574,439.7480343591301,17.43258894173745,67.0,0.0
SanDiego,baseline,3,6,0.20047699129291982,0.017271499825811082,17.118403215368527,2.9507685030130846,198.99322090598193,8.35256795376202,441.0655644762898,21.35446991536482,0.13211623782194745,0.005798321492156162,508.0655644762898,21.35446991536482,67.0,0.0
