Season,Date,home_abbr,away_abbr,home_pts,away_pts,home_win,opponent_abbr,ELO_t,opp_pre_elo_t,O_mean,O_var,O_p90,SOS_t,elo_avg_pre,O_t_list_json,O_len,O_mean_calc,O_var_calc,O_p90_calc
2015,2015-09-29,NYL,IND,71.0,72.0,0.0,NYL,1550.300496737515,1574.4404926134412,1530.5843044057342,91.1884210334416,1541.261829623084,1.0203895362704896,1500.0,"[1545.643,1534.69,1524.363,1517.41,1530.815]",5,1530.5842,91.18823895999971,1541.2618
2015,2015-10-04,MIN,IND,51.0,66.0,0.0,MIN,1562.4026064549375,1545.643364560421,1526.8195393670626,43.11824730977608,1533.5272155340713,1.0178796929113751,1500.0,"[1534.69,1524.363,1517.41,1530.815]",4,1526.8195,43.12046824999987,1533.5275000000001
2015,2015-10-06,MIN,IND,69.0,75.0,0.0,MIN,1573.356443798281,1534.689527217078,1524.1962100837238,29.963570297750085,1529.524814051767,1.0161308067224826,1500.0,"[1524.363,1517.41,1530.815]",3,1524.196,29.962948666666545,1529.5246
2015,2015-10-09,IND,MIN,77.0,71.0,1.0,MIN,1583.6825205180792,1524.3634504972797,1524.1125898769462,44.92437842968043,1529.4746419277003,1.0160750599179642,1500.0,"[1517.41,1530.815]",2,1524.1125000000002,44.92350624999982,1529.4745
2015,2015-10-11,IND,MIN,77.0,80.0,0.0,MIN,1590.6359462018552,1517.4100248135037,1530.8151549403888,0.0,1530.8151549403888,1.020543436626926,1500.0,[1530.815],1,1530.815,0.0,1530.815
2015,2015-10-14,MIN,IND,75.0,69.0,1.0,MIN,1577.23081607497,1530.8151549403888,,,,,1500.0,[],0,,,
2016,2016-05-14,IND,DAL,79.0,90.0,0.0,DAL,1500.0,1500.0,1519.293210960922,375.2805528439915,1538.5611416595864,1.0128621406406146,1500.0,"[1491.429,1511.429,1540.667,1533.647]",4,1519.293,375.28254599999707,1538.561
2016,2016-05-18,IND,PHO,97.0,93.0,1.0,PHO,1488.5707376518324,1491.4292623481676,1528.5811938318402,155.3075672167815,1539.2631327025413,1.0190541292212267,1500.0,"[1511.429,1540.667,1533.647]",3,1528.5810000000001,155.3089519999981,1539.263
2016,2016-05-20,IND,ATL,94.0,85.0,1.0,ATL,1497.2221626144474,1511.4292623481676,1537.1571595736764,12.31978560972545,1539.9651237454964,1.0247714397157843,1500.0,"[1540.667,1533.647]",2,1537.157,12.320099999999936,1539.965
2016,2016-05-27,MIN,IND,74.0,71.0,1.0,MIN,1506.1955892979806,1540.6671147884513,1533.6472043589015,0.0,1533.6472043589015,1.0224314695726011,1499.9999999999998,[1533.647],1,1533.647,0.0,1533.647
2016,2016-05-29,ATL,IND,85.0,76.0,1.0,ATL,1498.5800758195685,1533.6472043589015,,,,,1500.0,[],0,,,
2017,2017-05-14,SEA,IND,87.0,82.0,1.0,SEA,1500.0,1491.4292623481676,1502.70818143933,164.71534916541535,1517.2775694847965,1.0018054542928867,1500.0,"[1488.571,1488.571,1517.135,1517.373,1501.892]",5,1502.7084,164.7151894400012,1517.2778
