off_action,reg_action,win_mean,cf_mean,debt_mean,base_win,base_cf,base_debt,improved_all,score,site
"(6, 3, 2, 1, 1, 1)","(3, 3, 2, 2, 1, 1)",0.27560596677794524,10.498712488237443,10.165957759251443,0.31751915566641953,9.962909002941036,41.95411804814745,0,-0.4766993746614201,StLouis
"(3, 3, 2, 1, 0, 0)","(3, 3, 3, 2, 0, 0)",0.31761480350146865,11.294502096843924,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,1,5.1253668827031404,StLouis
"(3, 1, 2, 1, 0, 1)","(3, 1, 3, 1, 0, 1)",0.31353732478806573,11.892981862201543,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,0,5.316098776720468,StLouis
"(3, 3, 2, 1, 0, 0)","(3, 3, 4, 2, 0, 0)",0.31761480350146865,11.294502096843924,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,1,5.1253668827031404,StLouis
"(6, 2, 2, 1, 0, 1)","(3, 2, 3, 2, 0, 1)",0.31715203736856795,11.392750032409548,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,0,5.177338204978695,StLouis
"(3, 2, 2, 1, 1, 1)","(3, 2, 2, 1, 1, 1)",0.31751915566641953,11.40729251640384,10.154927121993033,0.31751915566641953,9.962909002941036,41.95411804814745,0,4.624302606078247,StLouis
"(5, 2, 2, 1, 1, 0)","(3, 2, 4, 2, 1, 0)",0.31773397810340503,11.028016180393955,10.145753177791299,0.31751915566641953,9.962909002941036,41.95411804814745,1,4.267425908187085,StLouis
"(3, 3, 2, 1, 0, 0)","(3, 3, 4, 1, 0, 0)",0.31761480350146865,11.553533279338428,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,1,5.384398065197644,StLouis
"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.31773397810340503,11.649142308879131,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,1,5.491924554931987,StLouis
"(3, 1, 2, 1, 0, 1)","(3, 1, 2, 2, 0, 1)",0.31353732478806573,11.634217629986281,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,0,5.057334544505206,StLouis
