site,param,value,off_action,reg_action,win_mean,cf_mean,debt_mean,owner_mean,base_win,base_cf,base_debt,base_owner,win_delta,cf_delta,debt_delta,owner_delta,improved_all
Columbus,expansion_media_bonus,0.03,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3446751939195446,12.622183885684386,4.112027995194051,256.78809619353376,0.341506584548919,11.066241516951443,41.95411804814745,219.13296540364567,0.0031686093706255747,1.5559423687329428,37.842090052953395,37.65513078988809,1
Columbus,expansion_media_bonus,0.06,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3446751939195446,12.7185883341417,4.112027995194051,262.1520968705648,0.341506584548919,11.16378183973143,41.95411804814745,224.49720048008538,0.0031686093706255747,1.5548064944102702,37.842090052953395,37.654896390479394,1
StLouis,win_eta_fatigue,0.3,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3451582813671471,12.659535854461266,4.112027995194051,256.82322701182943,0.3419371110195508,11.102745828635406,41.95411804814745,219.1645425468021,0.0032211703475962805,1.55679002582586,37.842090052953395,37.658684465027335,1
StLouis,win_eta_fatigue,0.6,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3441491839577109,12.651764217841059,4.112027995194051,256.74987401904,0.34103837349176547,11.095824132675457,41.95411804814745,219.09864461261282,0.0031108104659454128,1.5559400851656022,37.842090052953395,37.651229406427206,1
StLouis,win_eta_fatigue,0.9,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.343157356479711,12.644125586848022,4.112027995194051,256.67788868600803,0.340157139695218,11.089037243043329,41.95411804814745,219.03410595160184,0.003000216784493026,1.5550883438046927,37.842090052953395,37.64378273440619,1
StLouis,travel_cost_beta,0.6,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3441491839577109,12.683636933133982,4.112027995194051,256.74987401904,0.34103837349176547,11.12769684796838,41.95411804814745,219.09864461261282,0.0031108104659454128,1.5559400851656022,37.842090052953395,37.651229406427206,1
StLouis,travel_cost_beta,1.2,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3441491839577109,12.651764217841059,4.112027995194051,256.74987401904,0.34103837349176547,11.095824132675457,41.95411804814745,219.09864461261282,0.0031108104659454128,1.5559400851656022,37.842090052953395,37.651229406427206,1
StLouis,travel_cost_beta,1.8,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3441491839577109,12.619891502548136,4.112027995194051,256.74987401904,0.34103837349176547,11.063951417382535,41.95411804814745,219.09864461261282,0.0031108104659454128,1.5559400851656005,37.842090052953395,37.651229406427206,1
StLouis,compete_revenue_beta,0.02,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3441491839577109,12.741361768250037,4.112027995194051,256.74987401904,0.34103837349176547,11.184641582410656,41.95411804814745,219.09864461261282,0.0031108104659454128,1.5567201858393815,37.842090052953395,37.651229406427206,1
StLouis,compete_revenue_beta,0.04,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3441491839577109,12.651764217841059,4.112027995194051,256.74987401904,0.34103837349176547,11.095824132675457,41.95411804814745,219.09864461261282,0.0031108104659454128,1.5559400851656022,37.842090052953395,37.651229406427206,1
StLouis,compete_revenue_beta,0.06,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3441491839577109,12.56216666743208,4.112027995194051,256.74987401904,0.34103837349176547,11.007006682940258,41.95411804814745,219.09864461261282,0.0031108104659454128,1.555159984491823,37.842090052953395,37.651229406427206,1
StLouis,expansion_bidding_delta,1.0,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3441491839577109,12.683336510223722,4.112027995194051,256.74987401904,0.34103837349176547,11.11935267505812,41.95411804814745,219.09864461261282,0.0031108104659454128,1.563983835165601,37.842090052953395,37.651229406427206,1
StLouis,expansion_bidding_delta,2.0,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3441491839577109,12.651764217841059,4.112027995194051,256.74987401904,0.34103837349176547,11.095824132675457,41.95411804814745,219.09864461261282,0.0031108104659454128,1.5559400851656022,37.842090052953395,37.651229406427206,1
StLouis,expansion_bidding_delta,3.0,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3441491839577109,12.616334445293315,4.112027995194051,256.74987401904,0.34103837349176547,11.062829609450386,41.95411804814745,219.09864461261282,0.0031108104659454128,1.5535048358429293,37.842090052953395,37.651229406427206,1
StLouis,expansion_star_fa_delta,-1.0,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3441491839577109,12.651764217841059,4.112027995194051,256.74987401904,0.34103837349176547,11.095824132675457,41.95411804814745,219.09864461261282,0.0031108104659454128,1.5559400851656022,37.842090052953395,37.651229406427206,1
StLouis,expansion_star_fa_delta,-2.0,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3441491839577109,12.651764217841059,4.112027995194051,256.74987401904,0.34103837349176547,11.095824132675457,41.95411804814745,219.09864461261282,0.0031108104659454128,1.5559400851656022,37.842090052953395,37.651229406427206,1
StLouis,expansion_star_fa_delta,-3.0,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3441491839577109,12.651764217841059,4.112027995194051,256.74987401904,0.34103837349176547,11.095824132675457,41.95411804814745,219.09864461261282,0.0031108104659454128,1.5559400851656022,37.842090052953395,37.651229406427206,1
StLouis,expansion_media_bonus,0.0,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3441491839577109,12.555359769383747,4.112027995194051,251.53760853625414,0.34103837349176547,10.997006559218145,41.95411804814745,213.88603277197734,0.0031108104659454128,1.5583532101656026,37.842090052953395,37.6515757642768,1
StLouis,expansion_media_bonus,0.03,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3441491839577109,12.651764217841059,4.112027995194051,256.74987401904,0.34103837349176547,11.095824132675457,41.95411804814745,219.09864461261282,0.0031108104659454128,1.5559400851656022,37.842090052953395,37.651229406427206,1
StLouis,expansion_media_bonus,0.06,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3441491839577109,12.748168666298373,4.112027995194051,262.11251799300015,0.34103837349176547,11.193364455455445,41.95411804814745,224.46166687042296,0.0031108104659454128,1.5548042108429279,37.842090052953395,37.650851122577194,1
