site,param,value,team,owner_delta,win_delta,cf_delta
Columbus,win_eta_fatigue,0.3,ATL,7.925651406519648,-0.0022481804799314165,-0.0012971387933395917
Columbus,win_eta_fatigue,0.3,CHI,18.334647084172104,-0.0012261265801889465,0.10899402379152434
Columbus,win_eta_fatigue,0.3,CON,14.124235089963406,-0.0012322652923680844,0.08530433707515428
Columbus,win_eta_fatigue,0.3,DAL,10.54688075442209,-0.002368253339040005,-0.08391896554635814
Columbus,win_eta_fatigue,0.3,GSV,14.9979162691576,-0.006711266252101722,-0.3438501933466611
Columbus,win_eta_fatigue,0.3,IND,9.833100967086125,-0.0006239010618542262,-0.15987098182138304
Columbus,win_eta_fatigue,0.3,LAS,15.756102533969624,-0.008095438506113717,-0.36166793583862855
Columbus,win_eta_fatigue,0.3,LVA,21.018039349155742,-0.002403139633886775,-0.1535875479870512
Columbus,win_eta_fatigue,0.3,MIN,18.118886532810677,-0.0019290260665315584,0.12537259985725058
Columbus,win_eta_fatigue,0.3,NYL,20.348400705689073,-0.0025619044610935005,0.16958244463692296
Columbus,win_eta_fatigue,0.3,PHO,21.514821095013417,-0.007715818405531538,-0.2886007971202389
Columbus,win_eta_fatigue,0.3,SEA,20.806170359709995,-0.007403492698021208,-0.33536771560983425
Columbus,win_eta_fatigue,0.3,WAS,10.439958680541878,-0.0011513007710836076,0.05074115769355103
Columbus,win_eta_fatigue,0.6,ATL,7.794701831710142,-0.004437676136627433,-0.010143327517373457
Columbus,win_eta_fatigue,0.6,CHI,18.171150555869644,-0.0024257533674520992,0.0854649853548537
Columbus,win_eta_fatigue,0.6,CON,14.007417125776556,-0.002385294547382566,0.06833445405035121
Columbus,win_eta_fatigue,0.6,DAL,10.382434517737465,-0.004518587582973521,-0.1015255147498273
Columbus,win_eta_fatigue,0.6,GSV,14.354021781068184,-0.012289389653035554,-0.43277232059152837
Columbus,win_eta_fatigue,0.6,IND,9.788259129798064,-0.0012380951219170822,-0.16345663829890356
Columbus,win_eta_fatigue,0.6,LAS,14.912819209519057,-0.014958917748504108,-0.4727994825669626
Columbus,win_eta_fatigue,0.6,LVA,20.725797654243706,-0.004362180269903454,-0.22143821291574994
Columbus,win_eta_fatigue,0.6,MIN,17.873665506160762,-0.003735839539052821,0.0841214672578019
Columbus,win_eta_fatigue,0.6,NYL,19.96521525528044,-0.005050988144759683,0.11280201039373594
Columbus,win_eta_fatigue,0.6,PHO,20.388886213752812,-0.01449357245275773,-0.5047183244596241
Columbus,win_eta_fatigue,0.6,SEA,19.83107642798757,-0.013645137824767506,-0.5218427534994774
Columbus,win_eta_fatigue,0.6,WAS,10.354041327135661,-0.002266633152507136,0.042650064652823616
Columbus,win_eta_fatigue,0.9,ATL,7.667512972706504,-0.00656690719230707,-0.018747332338371336
Columbus,win_eta_fatigue,0.9,CHI,18.011419128452985,-0.0035988588638315444,0.06245574286731426
Columbus,win_eta_fatigue,0.9,CON,13.898363496407967,-0.003463066486916966,0.0524725994893771
Columbus,win_eta_fatigue,0.9,DAL,10.23401178154296,-0.0064647689372230865,-0.11745950913613257
Columbus,win_eta_fatigue,0.9,GSV,13.828809239992097,-0.016853417612169352,-0.5055379736320376
Columbus,win_eta_fatigue,0.9,IND,9.744134709738773,-0.001842638564092669,-0.1669860538382686
Columbus,win_eta_fatigue,0.9,LAS,14.385921341644973,-0.019511991066948675,-0.5457010349059495
Columbus,win_eta_fatigue,0.9,LVA,20.490428783281686,-0.005945803170065961,-0.27626737924953915
Columbus,win_eta_fatigue,0.9,MIN,17.64455303979406,-0.0054253200498290965,0.04554639837634511
Columbus,win_eta_fatigue,0.9,NYL,19.59422038738876,-0.007464896842801938,0.05773349667167338
Columbus,win_eta_fatigue,0.9,PHO,19.422413624620276,-0.02034517325599594,-0.6913179628187436
Columbus,win_eta_fatigue,0.9,SEA,19.029212627362483,-0.018814266376404376,-0.6762177955663518
Columbus,win_eta_fatigue,0.9,WAS,10.270914619203609,-0.00334652766502197,0.034816091667408955
Columbus,travel_cost_beta,0.6,ATL,7.794701831710142,-0.004437676136627433,0.0509052178998779
Columbus,travel_cost_beta,0.6,CHI,18.171150555869644,-0.0024257533674520992,0.12405565325224188
Columbus,travel_cost_beta,0.6,CON,14.007417125776556,-0.002385294547382566,0.14940113039119396
Columbus,travel_cost_beta,0.6,DAL,10.382434517737465,-0.004518587582973521,0.02623843898179956
Columbus,travel_cost_beta,0.6,GSV,14.354021781068184,-0.012289389653035554,-0.17177232059152914
Columbus,travel_cost_beta,0.6,IND,9.788259129798064,-0.0012380951219170822,-0.13992500062602353
Columbus,travel_cost_beta,0.6,LAS,14.912819209519057,-0.014958917748504108,-0.21179948256696335
Columbus,travel_cost_beta,0.6,LVA,20.725797654243706,-0.004362180269903454,0.024736702618731954
Columbus,travel_cost_beta,0.6,MIN,17.873665506160762,-0.003735839539052821,0.171890278529645
Columbus,travel_cost_beta,0.6,NYL,19.96521525528044,-0.005050988144759683,0.1794822799864022
Columbus,travel_cost_beta,0.6,PHO,20.388886213752812,-0.01449357245275773,-0.2717382996113855
Columbus,travel_cost_beta,0.6,SEA,19.83107642798757,-0.013645137824767506,-0.2608427534994675
Columbus,travel_cost_beta,0.6,WAS,10.354041327135661,-0.002266633152507136,0.08833804221602293
Columbus,travel_cost_beta,1.2,ATL,7.794701831710142,-0.004437676136627433,-0.010143327517373457
Columbus,travel_cost_beta,1.2,CHI,18.171150555869644,-0.0024257533674520992,0.0854649853548537
Columbus,travel_cost_beta,1.2,CON,14.007417125776556,-0.002385294547382566,0.06833445405035121
Columbus,travel_cost_beta,1.2,DAL,10.382434517737465,-0.004518587582973521,-0.1015255147498273
Columbus,travel_cost_beta,1.2,GSV,14.354021781068184,-0.012289389653035554,-0.43277232059152837
Columbus,travel_cost_beta,1.2,IND,9.788259129798064,-0.0012380951219170822,-0.16345663829890356
Columbus,travel_cost_beta,1.2,LAS,14.912819209519057,-0.014958917748504108,-0.4727994825669626
Columbus,travel_cost_beta,1.2,LVA,20.725797654243706,-0.004362180269903454,-0.22143821291574994
Columbus,travel_cost_beta,1.2,MIN,17.873665506160762,-0.003735839539052821,0.0841214672578019
Columbus,travel_cost_beta,1.2,NYL,19.96521525528044,-0.005050988144759683,0.11280201039373594
Columbus,travel_cost_beta,1.2,PHO,20.388886213752812,-0.01449357245275773,-0.5047183244596241
Columbus,travel_cost_beta,1.2,SEA,19.83107642798757,-0.013645137824767506,-0.5218427534994774
Columbus,travel_cost_beta,1.2,WAS,10.354041327135661,-0.002266633152507136,0.042650064652823616
Columbus,travel_cost_beta,1.8,ATL,7.794701831710142,-0.004437676136627433,-0.07119187293462481
Columbus,travel_cost_beta,1.8,CHI,18.171150555869644,-0.0024257533674520992,0.04687431745746551
Columbus,travel_cost_beta,1.8,CON,14.007417125776556,-0.002385294547382566,-0.012732222290495088
Columbus,travel_cost_beta,1.8,DAL,10.382434517737465,-0.004518587582973521,-0.22928946848145415
Columbus,travel_cost_beta,1.8,GSV,14.354021781068184,-0.012289389653035554,-0.6937723205915276
Columbus,travel_cost_beta,1.8,IND,9.788259129798064,-0.0012380951219170822,-0.1869882759717818
Columbus,travel_cost_beta,1.8,LAS,14.912819209519057,-0.014958917748504108,-0.7337994825669618
Columbus,travel_cost_beta,1.8,LVA,20.725797654243706,-0.004362180269903454,-0.46761312845021763
Columbus,travel_cost_beta,1.8,MIN,17.873665506160762,-0.003735839539052821,-0.003647344014034104
Columbus,travel_cost_beta,1.8,NYL,19.96521525528044,-0.005050988144759683,0.04612174080106968
Columbus,travel_cost_beta,1.8,PHO,20.388886213752812,-0.01449357245275773,-0.7376983493078626
Columbus,travel_cost_beta,1.8,SEA,19.83107642798757,-0.013645137824767506,-0.7828427534994731
Columbus,travel_cost_beta,1.8,WAS,10.354041327135661,-0.002266633152507136,-0.0030379129103756952
Columbus,compete_revenue_beta,0.02,ATL,7.794701831710142,-0.004437676136627433,-0.010143327517373457
Columbus,compete_revenue_beta,0.02,CHI,18.171150555869644,-0.0024257533674520992,0.0854649853548537
Columbus,compete_revenue_beta,0.02,CON,14.007417125776556,-0.002385294547382566,0.06833445405035121
Columbus,compete_revenue_beta,0.02,DAL,10.382434517737465,-0.004518587582973521,-0.1015255147498273
Columbus,compete_revenue_beta,0.02,GSV,14.354021781068184,-0.012289389653035554,-0.43277232059152837
Columbus,compete_revenue_beta,0.02,IND,9.788259129798064,-0.0012380951219170822,-0.0909318653078941
Columbus,compete_revenue_beta,0.02,LAS,14.912819209519057,-0.014958917748504108,-0.4727994825669626
Columbus,compete_revenue_beta,0.02,LVA,20.725797654243706,-0.004362180269903454,-0.22143821291574994
Columbus,compete_revenue_beta,0.02,MIN,17.873665506160762,-0.003735839539052821,0.0841214672578019
Columbus,compete_revenue_beta,0.02,NYL,19.96521525528044,-0.005050988144759683,0.11280201039373594
Columbus,compete_revenue_beta,0.02,PHO,20.388886213752812,-0.01449357245275773,-0.5047183244596241
Columbus,compete_revenue_beta,0.02,SEA,19.83107642798757,-0.013645137824767506,-0.5218427534994774
Columbus,compete_revenue_beta,0.02,WAS,10.354041327135661,-0.002266633152507136,0.042650064652823616
Columbus,compete_revenue_beta,0.04,ATL,7.794701831710142,-0.004437676136627433,-0.010143327517373457
